cve_id,degree_cent,betweenness,closeness,eigenvector,pagerank,cvss_score,severity
CVE-2021-36160,0.30703842230533834,0.0011196024251793467,0.5788230663255265,0.04387856858809668,0.0006933670820912914,7.5,HIGH
CVE-2021-3156,0.2764365861951717,0.0041051095126844826,0.5650336215177714,0.04061793420536258,0.0006918210090195793,7.8,HIGH
CVE-2021-37712,0.35022101326079563,0.023274340801655715,0.5813401858074718,0.030186748762431652,0.000689307483144444,8.2,HIGH
CVE-2021-39154,0.3111186671200272,0.0007120253011406156,0.5801933320181495,0.045034132687615955,0.0006800915072528032,8.5,HIGH
CVE-2021-39144,0.3111186671200272,0.0007120253011406156,0.5801933320181495,0.04503413268761596,0.0006800915072528032,8.5,HIGH
CVE-2021-39145,0.3111186671200272,0.0007120253011406156,0.5801933320181495,0.04503413268761596,0.0006800915072528032,8.5,HIGH
CVE-2021-39141,0.3111186671200272,0.0007120253011406156,0.5801933320181495,0.04503413268761596,0.0006800915072528032,8.5,HIGH
CVE-2021-39139,0.3111186671200272,0.0007120253011406156,0.5801933320181495,0.04503413268761596,0.0006800915072528032,8.5,HIGH
CVE-2021-39147,0.3111186671200272,0.0007120253011406156,0.5801933320181495,0.04503413268761596,0.0006800915072528032,8.5,HIGH
CVE-2021-39150,0.3111186671200272,0.0007120253011406156,0.5801933320181495,0.04503413268761597,0.0006800915072528032,8.5,HIGH
CVE-2021-39151,0.3111186671200272,0.0007120253011406156,0.5801933320181495,0.04503413268761597,0.0006800915072528032,8.5,HIGH
CVE-2021-39148,0.3111186671200272,0.0007120253011406156,0.5801933320181495,0.04503413268761597,0.0006800915072528032,8.5,HIGH
CVE-2021-39153,0.3111186671200272,0.0007120253011406156,0.5801933320181495,0.04503413268761597,0.0006800915072528032,8.5,HIGH
CVE-2021-39152,0.3111186671200272,0.0007120253011406156,0.5801933320181495,0.04503413268761597,0.0006800915072528032,8.5,HIGH
CVE-2021-39146,0.3111186671200272,0.0007120253011406156,0.5801933320181495,0.04503413268761596,0.0006800915072528031,8.5,HIGH
CVE-2021-39149,0.3111186671200272,0.0007120253011406156,0.5801933320181495,0.04503413268761596,0.0006800915072528031,8.5,HIGH
CVE-2021-44142,0.2832369942196532,0.0018106272093433506,0.5681993817619784,0.04213382033109,0.0006761727497398579,8.8,HIGH
CVE-2021-3760,0.2998979938796328,0.0028887221176546597,0.5689688527761656,0.03610516072831888,0.0006760593196663417,7.8,HIGH
CVE-2021-3656,0.2852771166269976,0.004232885952219601,0.5580645161290323,0.03500807583530727,0.0006732934189786511,8.8,HIGH
CVE-2021-30528,0.24277456647398846,0.010885896742426973,0.5443272256153988,0.03362142745938898,0.0006726542599826954,8.8,HIGH
CVE-2021-30507,0.24277456647398846,0.010885896742426973,0.5443272256153988,0.03362142745938899,0.0006726542599826954,8.8,HIGH
CVE-2021-30521,0.24277456647398846,0.010885896742426973,0.5443272256153988,0.033621427459388994,0.0006726542599826954,8.8,HIGH
CVE-2021-30506,0.24277456647398846,0.010885896742426973,0.5443272256153988,0.033621427459388974,0.0006726542599826954,8.8,HIGH
CVE-2021-29505,0.3097585855151309,0.0006113392149228264,0.5797358564951706,0.04501804789237681,0.0006712346377019898,7.5,HIGH
CVE-2021-33034,0.29785787147228837,0.002839635814949137,0.5683091787439614,0.03597205522746326,0.0006694620758853101,7.8,HIGH
CVE-2021-38160,0.2896973818429106,0.003163222372306018,0.5652508168364405,0.033162984774028285,0.0006652942862119158,7.8,HIGH
CVE-2021-29154,0.29105746344780686,0.003464326052300832,0.5635179153094463,0.03379617765663507,0.0006651445645630489,7.8,HIGH
CVE-2021-25215,0.29853791227473647,0.0011667143001406724,0.5739656518345043,0.0435978910960864,0.0006650227482208444,7.5,HIGH
CVE-2021-28660,0.2903774226453587,0.0034553870298172037,0.5633020494158207,0.033711190082530415,0.0006636834889923549,8.8,HIGH
CVE-2021-34424,0.2471948316899014,0.008208428512125754,0.45526315789473687,0.004883614332058453,0.0006609848182392587,7.5,HIGH
CVE-2021-34423,0.2471948316899014,0.008208428512125754,0.45526315789473687,0.004883614332058454,0.0006609848182392587,9.8,CRITICAL
CVE-2021-45079,0.29921795307718463,0.00105694800591607,0.5759890325107716,0.04366807975348971,0.0006590042477812037,9.1,CRITICAL
CVE-2021-33285,0.3083985039102346,0.0005590787029910973,0.5790509942902146,0.04500796613971875,0.0006589280479764047,7.8,HIGH
CVE-2021-21996,0.30669840190411424,0.0005682605248324006,0.5784815106215578,0.044976818238251434,0.0006585267452284468,7.5,HIGH
CVE-2021-38300,0.28459707582454946,0.0030965072128272663,0.5630863488416619,0.03246200807421421,0.0006564023979778545,7.8,HIGH
CVE-2021-20270,0.27099625977558656,0.0019590171856933834,0.5625478194338179,0.04085865191844701,0.0006557758183944598,7.5,HIGH
CVE-2021-21179,0.3063583815028902,0.006379046640353841,0.5732943469785575,0.04260064601467536,0.0006551665533797607,8.8,HIGH
CVE-2021-41817,0.30023801428085684,0.0007012157712880609,0.5763276504017245,0.0438776885343006,0.0006535581126439849,7.5,HIGH
CVE-2021-41819,0.2988779326759606,0.000695306760504287,0.5758762482866654,0.04373204479163477,0.0006509585605982679,7.5,HIGH
CVE-2021-4083,0.28255695341720505,0.0030487460195645468,0.5624402371390324,0.03244860920180269,0.0006489265354970999,7.0,HIGH
CVE-2021-21155,0.3407004420265216,0.013723587326497816,0.5520931105688005,0.029216380050889893,0.0006452954807717878,9.6,CRITICAL
CVE-2021-21150,0.3407004420265216,0.013723587326497816,0.5520931105688005,0.029216380050889886,0.0006452954807717877,9.6,CRITICAL
CVE-2021-26930,0.2856171370282217,0.0032931202368135454,0.5617956064947469,0.033543500681466165,0.0006448403708907397,7.8,HIGH
CVE-2021-3517,0.263855831349881,0.0018375867728118139,0.5596574690770695,0.03852522858872497,0.0006440838925674109,8.6,HIGH
CVE-2021-43818,0.2981978918735124,0.0005512888486705111,0.5756508122920336,0.04372691726934106,0.0006425914916776033,8.2,HIGH
